EOD,From Time,To time,Job name,,
240219,2024-02-19 22:25:24,2024-02-19 23:16:05,ICSJOBRA  ,,
240218,2024-02-18 22:47:45,2024-02-18 23:44:32,ICSJOBRA  ,,
240217,2024-02-17 23:03:26,2024-02-18 00:12:58,ICSJOBRA  ,,
240216,2024-02-16 22:00:24,2024-02-16 23:04:53,ICSJOBRA  ,,
240215,2024-02-15 21:59:45,2024-02-15 22:57:21,ICSJOBRA  ,,
240214,2024-02-14 21:58:05,2024-02-14 22:54:05,ICSJOBRA  ,,
240213,2024-02-13 22:01:08,2024-02-13 22:52:12,ICSJOBRA  ,,
240212,2024-02-12 22:04:39,2024-02-12 22:55:26,ICSJOBRA  ,,
240211,2024-02-11 22:02:48,2024-02-11 22:57:07,ICSJOBRA  ,,
240210,2024-02-10 22:09:34,2024-02-10 23:10:57,ICSJOBRA  ,,
240209,2024-02-09 22:04:32,2024-02-09 23:02:24,ICSJOBRA  ,,
240208,2024-02-08 21:59:22,2024-02-08 22:51:41,ICSJOBRA  ,,
240207,2024-02-07 22:03:46,2024-02-07 23:02:03,ICSJOBRA  ,,
240206,2024-02-06 22:00:11,2024-02-06 22:56:12,ICSJOBRA  ,,
240205,2024-02-05 22:00:24,2024-02-05 22:59:20,ICSJOBRA  ,,
240204,2024-02-04 22:03:00,2024-02-04 23:04:18,ICSJOBRA  ,,
240203,2024-02-03 22:03:30,2024-02-03 23:18:47,ICSJOBRA  ,,
240202,2024-02-02 22:02:44,2024-02-02 23:01:36,ICSJOBRA  ,,
240201,2024-02-01 22:02:23,2024-02-01 22:56:58,ICSJOBRA  ,,
240131,2024-01-31 22:22:12,2024-01-31 23:25:45,ICSJOBRA  ,,
240130,2024-01-30 22:02:30,2024-01-30 22:59:21,ICSJOBRA  ,,
240129,2024-01-29 21:59:09,2024-01-29 22:53:48,ICSJOBRA  ,,
240128,2024-01-28 21:59:54,2024-01-28 22:56:04,ICSJOBRA  ,,
240127,2024-01-27 21:59:53,2024-01-27 22:59:35,ICSJOBRA  ,,
240126,2024-01-26 22:03:52,2024-01-26 23:04:24,ICSJOBRA  ,,
240125,2024-01-25 21:54:37,2024-01-25 22:44:30,ICSJOBRA  ,,
240124,2024-01-24 22:01:32,2024-01-24 22:55:12,ICSJOBRA  ,,
240123,2024-01-23 21:57:09,2024-01-23 22:49:58,ICSJOBRA  ,,
240122,2024-01-22 21:58:06,2024-01-22 22:49:50,ICSJOBRA  ,,
240121,2024-01-21 21:58:16,2024-01-21 22:50:15,ICSJOBRA  ,,
240120,2024-01-20 22:01:43,2024-01-20 22:55:38,ICSJOBRA  ,,
240119,2024-01-19 22:06:48,2024-01-19 22:58:42,ICSJOBRA  ,,
240118,2024-01-18 21:58:01,2024-01-18 22:51:55,ICSJOBRA  ,,
240117,2024-01-17 21:58:25,2024-01-17 22:49:34,ICSJOBRA  ,,
240116,2024-01-16 21:59:00,2024-01-16 22:57:47,ICSJOBRA  ,,
